14/15 Toatally Certified Celtics Paul Pierce Mirror Platinum Green Diet Cut /5,Paul Pierce,$55.00 ,"Feb 25, 2021

08:44:10 PST",Basketball,Boston Celtics,2014,Panini,,,Serial Numbered,https://www.ebay.com/itm/14-15-Toatally-Certified-Celtics-Paul-Pierce-Mirror-Platinum-Green-Diet-Cut-5/383980945975?hash=item59670c4237:g:T5EAAOSw7WJgN4ji
2020 PLAYBOOK ROOKIE SIGNATURE LOCKER RC BRANDON AIYUK 6X RELIC AUTO #d /99 EXCH,Brandon Aiyuk,$178.00 ,"Feb 25, 2021

08:44:09 PST",Football,San Francisco 49ers,2020,Panini,Ungraded,Not Professionally Graded,"Memorabilia, Piece of Authentic, Redemption, Rookie, Serial Numbered",https://www.ebay.com/itm/2020-PLAYBOOK-ROOKIE-SIGNATURE-LOCKER-RC-BRANDON-AIYUK-6X-RELIC-AUTO-d-99-EXCH/184656138517?hash=item2afe5d1115:g:YG4AAOSw5DpgIaqw
Tiger Woods 2001 Upper Deck Golf #151 Victory March PSA 10 Gem MT Rookie Card RC,Tiger Woods,$349.99 ,"Feb 25, 2021

08:43:14 PST",Golf,,2001,Upper Deck,10,Professional Sports (PSA),Rookie,https://www.ebay.com/itm/Tiger-Woods-2001-Upper-Deck-Golf-151-Victory-March-PSA-10-Gem-MT-Rookie-Card-RC/265066162718?hash=item3db72caa1e:g:OysAAOSwgQJgNpKb
2020 Panini Chronicles Football Tua Tagovailoa Downtown Case Hit Miami Dolphins,Tua Tagovailoa,$152.50 ,"Feb 25, 2021

08:43:03 PST",Football,Miami Dolphins,2020,Panini,Ungraded,Not Professionally Graded,"Rookie, Short Print (SP)",https://www.ebay.com/itm/2020-Panini-Chronicles-Football-Tua-Tagovailoa-Downtown-Case-Hit-Miami-Dolphins/224359192153?hash=item343cd99659:g:EskAAOSwf3pgMTvV
2020 Panini Luminance AARON RODGERS 8/25 RED Foil #42,Aaron Rodgers,$39.99 ,"Feb 25, 2021

08:43:02 PST",Football,Green Bay Packers,2020,Panini,Ungraded,Not Professionally Graded,"Serial Numbered, Single-Parallel, Holographic Foil",https://www.ebay.com/itm/2020-Panini-Luminance-AARON-RODGERS-8-25-RED-Foil-42/274681712391?hash=item3ff44e4f07:g:mSkAAOSwT~dgKx0n
2020 PANINI DONRUSS OPTIC BASEBALL KYLE LEWIS RATED ROOKIE RC #56 PSA 10 INVEST,Kyle Lewis,$114.99 ,"Feb 25, 2021

08:43:01 PST",Baseball,Seattle Mariners,2020,Panini,10,Professional Sports (PSA),Rookie,https://www.ebay.com/itm/2020-PANINI-DONRUSS-OPTIC-BASEBALL-KYLE-LEWIS-RATED-ROOKIE-RC-56-PSA-10-INVEST/373429635750?hash=item56f2240aa6:g:zxcAAOSwEWRgAgQU
1969 Topps Mickey Mantle baseball card   Yankees   # 500 Original Vintage,Mickey Mantle,$112.50 ,"Feb 25, 2021

08:42:32 PST",Baseball,New York Yankees,1969,Topps,Ungraded,,,https://www.ebay.com/itm/1969-Topps-Mickey-Mantle-baseball-card-Yankees-500-Original-Vintage/124579796248?hash=item1d0188d518:g:dikAAOSwRUpgLphG
1954 Topps #250 Ted Williams Excellent Red Sox           ID:257771,Ted Williams,$425.00 ,"Feb 25, 2021

08:42:25 PST",Baseball,Boston Red Sox,1954,Topps,Excellent,,,https://www.ebay.com/itm/1954-Topps-250-Ted-Williams-Excellent-Red-Sox-ID-257771/383861260251?hash=item595fe9ffdb:g:sh0AAOSwttRf2j6l
2018 Panini Prizm #184 Shai Gilgeous-Alexander Silver PSA 9 MINT,Shai Gilgeous-Alexander,$225.00 ,"Feb 25, 2021

08:42:13 PST",Basketball,Los Angeles Clippers,2018,Panini,9,Professional Sports (PSA),,https://www.ebay.com/itm/2018-Panini-Prizm-184-Shai-Gilgeous-Alexander-Silver-PSA-9-MINT/114681815772?hash=item1ab391a2dc:g:KaQAAOSwVzFgJv-j
1972 Topps Julius Erving HOF RC ABA All-Stars #255 Squires See description,Julius Erving,$81.00 ,"Feb 25, 2021

08:42:11 PST",Basketball,Virginia Squires,1972,Topps,Ungraded,,Rookie,https://www.ebay.com/itm/1972-Topps-Julius-Erving-HOF-RC-ABA-All-Stars-255-Squires-See-description/124579795289?hash=item1d0188d159:g:23QAAOSwAnZgLpgG
2020 BOWMAN LUIS ROBERT RC #18 PSA 10 GEM MINT ROOKIE,Luis Robert,$39.99 ,"Feb 25, 2021

08:42:00 PST",Baseball,,2020,Bowman,10,Professional Sports (PSA),Rookie,https://www.ebay.com/itm/2020-BOWMAN-LUIS-ROBERT-RC-18-PSA-10-GEM-MINT-ROOKIE/193892772138?hash=item2d24e8e92a:g:GEAAAOSwXIpgKYW5
Bruce Lee Rookie Card PSA 7 1966 Green Hornet Kato #35 Karate RC 60s TV Show 🔥,Bruce Lee,$99.99 ,"Feb 25, 2021

08:41:50 PST",Mixed Martial Arts (MMA),,1966,Donruss,7,,Rookie,https://www.ebay.com/itm/Bruce-Lee-Rookie-Card-PSA-7-1966-Green-Hornet-Kato-35-Karate-RC-60s-TV-Show/324497492027?hash=item4b8d8ec83b:g:AXoAAOSwhkFgNofn
DON HUTSON Autograph Signed Football Card HOF Green Bay Packers Alabama,Don Hutson,$44.00 ,"Feb 25, 2021

08:41:23 PST",Football,Green Bay Packers,,,Ungraded,Not Professionally Graded,,https://www.ebay.com/itm/DON-HUTSON-Autograph-Signed-Football-Card-HOF-Green-Bay-Packers-Alabama/124579792758?hash=item1d0188c776:g:NKoAAOSwc3dgLpig
Baker Mayfield / Nick Chubb 2018 Plates & Patches /45 Rookie Cleveland Browns,Baker Mayfield,$100.00 ,"Feb 25, 2021

08:41:22 PST",Football,Cleveland Browns,2018,Panini,Ungraded,Not Professionally Graded,"Rookie, Piece of Authentic, Memorabilia, Short Print (SP), Single-Insert, Serial Numbered",https://www.ebay.com/itm/Baker-Mayfield-Nick-Chubb-2018-Plates-Patches-45-Rookie-Cleveland-Browns/124488411684?hash=item1cfc166a24:g:hr4AAOSw3zJf2VgO
1999 Metal Ray Allen PSA 10 POP 1 #4,Ray Allen,$69.95 ,"Feb 25, 2021

08:41:05 PST",Basketball,,1999,metal,10,Professional Sports (PSA),,https://www.ebay.com/itm/1999-Metal-Ray-Allen-PSA-10-POP-1-4/224198722979?hash=item34334905a3:g:dHEAAOSw54Jfi6Hd
1990 Score Bo Jackson PSA 9 MINT - Kansas City Royals - Beautiful Iconic Card💥,Bo Jackson,$150.00 ,"Feb 25, 2021

08:41:03 PST",Baseball,Kansas City Royals,1990,Score,9,Professional Sports (PSA),Single-Insert,https://www.ebay.com/itm/1990-Score-Bo-Jackson-PSA-9-MINT-Kansas-City-Royals-Beautiful-Iconic-Card/193915683357?hash=item2d2646821d:g:q-sAAOSwBWZgNoCw
1998 Topps Apparitions Michael Jordan #A15 - NM 7 - 7.5,Michael Jordan,$375.00 ,"Feb 25, 2021

08:40:55 PST",Basketball,Chicago Bulls,1998,Topps,7.5,,Single-Insert,https://www.ebay.com/itm/1998-Topps-Apparitions-Michael-Jordan-A15-NM-7-7-5/143947445579?hash=item2183efb54b:g:R-8AAOSw2-ZgJ9p6
2019 Wander Franco PSA 9 Bowman Prospects Rookie RC #BP100 ,Wander Franco,$44.95 ,"Feb 25, 2021

08:40:49 PST",Baseball,Tampa Bay Rays,,Bowman,9,Professional Sports (PSA),Rookie,https://www.ebay.com/itm/2019-Wander-Franco-PSA-9-Bowman-Prospects-Rookie-RC-BP100/143818340958?hash=item217c3dba5e:g:e18AAOSwaDRfn230
2020 optic Justin Herbert Rated Rookie Blue Scope LA Chargers # 153,Justin Herbert,$400.00 ,"Feb 25, 2021

08:40:48 PST",Football,Los Angeles Chargers,2020,Panini,,,Blue Scope,https://www.ebay.com/itm/2020-optic-Justin-Herbert-Rated-Rookie-Blue-Scope-LA-Chargers-153/353399539270?hash=item5248410646:g:o30AAOSwpsdgN8fR
2016 Panini Prizm Explosion #1 LeBron James Cavaliers PSA 10 GEM MINT,LeBron James,$46.50 ,"Feb 25, 2021

08:40:40 PST",,Cleveland Cavaliers,2016,Panini,10,Professional Sports (PSA),,https://www.ebay.com/itm/2016-Panini-Prizm-Explosion-1-LeBron-James-Cavaliers-PSA-10-GEM-MINT/184673262730?hash=item2aff625c8a:g:6e4AAOSwDYJgMTrn
Luka Doncic 2018-2019 Panini Elite Rookie Card RC Mavericks All Star Starter,Luka Doncic,$75.00 ,"Feb 25, 2021

08:40:13 PST",Basketball,Dallas Mavericks,2019,Panini,,,Rookie,https://www.ebay.com/itm/Luka-Doncic-2018-2019-Panini-Elite-Rookie-Card-RC-Mavericks-All-Star-Starter/284185929437?hash=item422acd26dd:g:fQQAAOSwVTdgKv0K
1960 Topps Bob Gibson SGC EX 5 #73 St. Louis Cardinal EXCELLENT 60 bvg 6 7 8 psa,Bob Gibson,$125.00 ,"Feb 25, 2021

08:40:11 PST",Baseball,St. Louis Cardinals,1960,Topps,5,Sportscard (SGC),,https://www.ebay.com/itm/1960-Topps-Bob-Gibson-SGC-EX-5-73-St-Louis-Cardinal-EXCELLENT-60-bvg-6-7-8-psa/154261006858?hash=item23eaac2a0a:g:zK4AAOSwmhtfw64D
1991 Bowman #261 Bret Boone RC Rookie Seattle Mariners PSA 10 Gem Mint ,Bret Boone,$44.99 ,"Feb 25, 2021

08:40:08 PST",Baseball,Seattle Mariners,1991,Bowman,10,Professional Sports (PSA),Rookie,https://www.ebay.com/itm/1991-Bowman-261-Bret-Boone-RC-Rookie-Seattle-Mariners-PSA-10-Gem-Mint/254880244278?hash=item3b580be236:g:9aQAAOSw7sdgEcJE
2019 National Treasures Jason Kelce Rare Auto 68/99 Eagles Legendary Signatures,Jason Kelce,$74.99 ,"Feb 25, 2021

08:40:08 PST",Football,Philadelphia Eagles,2020,Panini,Ungraded,,"Autograph, Auto, Serial Numbered, Single-Insert",https://www.ebay.com/itm/2019-National-Treasures-Jason-Kelce-Rare-Auto-68-99-Eagles-Legendary-Signatures/293755767247?hash=item44653549cf:g:CR4AAOSwlBVfcCLu
2020 Donruss Optic Chase Claypool Rated Rookie #177 Holo Silver RC Steelers,Chase Claypool,$40.00 ,"Feb 25, 2021

08:39:34 PST",Football,Pittsburgh Steelers,2020,Donruss,Ungraded,Not Professionally Graded,"Rookie, Refractor, Single-Parallel",https://www.ebay.com/itm/2020-Donruss-Optic-Chase-Claypool-Rated-Rookie-177-Holo-Silver-RC-Steelers/184679019249?hash=item2affba32f1:g:3Y4AAOSwQjNgNbC5
1987 FLEER BASKETBALL ISIAH THOMAS #106 GRADED 10 GEM MINT PISTONS HOF,Isiah Thomas,$65.00 ,"Feb 25, 2021

08:39:31 PST",Basketball,Detroit Pistons,1987,Fleer,10,,,https://www.ebay.com/itm/1987-FLEER-BASKETBALL-ISIAH-THOMAS-106-GRADED-10-GEM-MINT-PISTONS-HOF/124591598106?hash=item1d023cea1a:g:z~YAAOSwK2xgNe7W
SHAWN KEMP - ROOKIE - 90 FLEER - PSA 10,Shawn Kemp,$304.00 ,"Feb 25, 2021

08:39:29 PST",Basketball,Seattle Supersonics,1990,Fleer,10,Professional Sports (PSA),Rookie,https://www.ebay.com/itm/SHAWN-KEMP-ROOKIE-90-FLEER-PSA-10/393133589830?hash=item5b88968546:g:TloAAOSwfl1gKqet
2019 BOWMAN PROSPECTS 1st Wander FRANCO RAYS BP-100 ROOKIE RC PSA 9 MINT,,$40.00 ,"Feb 25, 2021

08:39:21 PST",,,2017,,,,,https://www.ebay.com/itm/2019-BOWMAN-PROSPECTS-1st-Wander-FRANCO-RAYS-BP-100-ROOKIE-RC-PSA-9-MINT/114658596970?hash=item1ab22f586a:g:aQwAAOSwSNpgFaSc
Dale Earnhardt Jr 2020 NASCAR Prizm Auto,Dale Earnhardt Jr.,$40.00 ,"Feb 25, 2021

08:39:17 PST",Auto Racing,,2020,Panini,Ungraded,Not Professionally Graded,Single-Insert,https://www.ebay.com/itm/Dale-Earnhardt-Jr-2020-NASCAR-Prizm-Auto/313428913654?hash=item48f9d1adf6:g:xbgAAOSwFj5f81Kk
2020 BOWMAN CHROME SAPPHIRE BOBBY WITT JR RC BCP-25 ROYALS,Bobby Witt Jr.,$76.00 ,"Feb 25, 2021

08:39:07 PST",Baseball,Kansas City Royals,2020,Topps,Ungraded,Not Professionally Graded,Refractor,https://www.ebay.com/itm/2020-BOWMAN-CHROME-SAPPHIRE-BOBBY-WITT-JR-RC-BCP-25-ROYALS/274688303941?hash=item3ff4b2e345:g:3rkAAOSwUstgLpfB
Baker Mayfield Flawless 2018 Rookie Ruby Gem PSA 10 GEM Mint Cleveland Browns ,Baker Mayfield,"$1,299.00 ","Feb 25, 2021

08:38:41 PST",Football,Cleveland Browns,2018,Panini,10,Professional Sports (PSA),Rookie,https://www.ebay.com/itm/Baker-Mayfield-Flawless-2018-Rookie-Ruby-Gem-PSA-10-GEM-Mint-Cleveland-Browns/284189632982?hash=item422b05a9d6:g:ZugAAOSwt5ZgJgxR
2020 PRIZM DRAFT PICKS ANTHONY EDWARDS  Blue Cracked Ice RC Rookie Card /99 MINT,anthony edwards,$79.99 ,"Feb 25, 2021

08:38:28 PST",Basketball,Minnesota Timberwolves,2020,Panini,Ungraded,Professional Sports (PSA),Rookie,https://www.ebay.com/itm/2020-PRIZM-DRAFT-PICKS-ANTHONY-EDWARDS-Blue-Cracked-Ice-RC-Rookie-Card-99-MINT/353364961222?hash=item52463167c6:g:XMMAAOSwZ9ZgDZ3o
1993 BOWMAN  #103 ANDY PETTITTE ROOKIE AUTOGRAPH SGC AUTHENTIC AU137042,Andy Pettitte,$134.99 ,"Feb 25, 2021

08:38:23 PST",Baseball,New York Yankees,1993,Bowman,0,Sportscard (SGC),Autograph,https://www.ebay.com/itm/1993-BOWMAN-103-ANDY-PETTITTE-ROOKIE-AUTOGRAPH-SGC-AUTHENTIC-AU137042/113709006654?hash=item1a7995bf3e:g:CPkAAOSwNSxVShs7
2019 Bowman Chrome # 63 Christian Yelich PSA 10 GEM MINT PURPLE Refractor #/250 ,Christian Yelich,$95.00 ,"Feb 25, 2021

08:38:20 PST",Baseball,Milwaukee Brewers,2019,Bowman,MINT,Professional Sports (PSA),Refractor,https://www.ebay.com/itm/2019-Bowman-Chrome-63-Christian-Yelich-PSA-10-GEM-MINT-PURPLE-Refractor-250/363294826463?hash=item54960f1fdf:g:PsAAAOSwrnhgKyN4
Zion Williamson 2019-2020 Donruss Optic Rated Rookie Pelicans,Zion Williamson,$60.00 ,"Feb 25, 2021

08:38:09 PST",Basketball,New Orleans Pelicans,2020,Donruss,Ungraded,,Rookie,https://www.ebay.com/itm/Zion-Williamson-2019-2020-Donruss-Optic-Rated-Rookie-Pelicans/164666456704?hash=item2656e2ba80:g:reUAAOSwbhRgDlJk
1993 DEREK JETER Upper Deck #449 RC PSA 10 Gem Mint,Derek Jeter,"$1,025.00 ","Feb 25, 2021

08:38:07 PST",Baseball,New York Yankees,1993,Upper Deck,10,Professional Sports (PSA),Rookie,https://www.ebay.com/itm/1993-DEREK-JETER-Upper-Deck-449-RC-PSA-10-Gem-Mint/333890947769?hash=item4dbd738ab9:g:2BMAAOSwuBdgKqMf
1991 Fleer Pro Visions Michael Jordan PSA 9 Chicago Bulls QTY Available,Michael Jordan,$89.99 ,"Feb 25, 2021

08:38:04 PST",Basketball,Chicago Bulls,1991,Fleer,9,Professional Sports (PSA),,https://www.ebay.com/itm/1991-Fleer-Pro-Visions-Michael-Jordan-PSA-9-Chicago-Bulls-QTY-Available/383968457821?hash=item59664db45d:g:vPQAAOSwsRRgLd4i
2012-13 Panini Elite Series Anthony Davis RC #'d /199 PSA 10💎Rookie #4🔥RARE📈,Anthony Davis,$499.00 ,"Feb 25, 2021

08:38:03 PST",Basketball,New Orleans Pelicans Hornets Lakers Kentucky,2012-13,Panini,10,Professional Sports (PSA),"Rookie, Serial Numbered",https://www.ebay.com/itm/2012-13-Panini-Elite-Series-Anthony-Davis-RC-d-199-PSA-10-Rookie-4-RARE/184602511866?hash=item2afb2ac9fa:g:DDcAAOSwFahf7UAo
